Strain No.,Replicate,Start Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Slope,R^2,,Substrate,Climate,Region,GPS
58,a,9/30/16,4.2,8.5,9.8,11.2,12.6,13.1,14.3,,,,,,,,0.8640126483,0.8542645791,,Strawberry,Temperate,Northern California,"36.626480,-121.544664"
58,b,9/30/16,3.5,7.1,8.7,10.4,12.1,12.6,13.8,,,,,,,,0.9311092162,0.8977770136,,Strawberry,Temperate,Northern California,"36.626480,-121.544664"
58,c,9/30/16,3.9,7.9,9.1,10.3,11.6,12.2,13.4,,,,,,,,0.8098841754,0.863081336,,Strawberry,Temperate,Northern California,"36.626480,-121.544664"
59,a,9/30/16,4.5,9.1,13.0,17.0,21.0,22.7,26.2,,,,,,,,2.087063881,0.9637252979,,Strawberry,Temperate,Northern California,"36.653824,-121.585261"
59,b,9/30/16,5.5,11.0,14.8,18.7,22.6,24.7,29.0,,,,,,,,2.198500675,0.9644469095,,Strawberry,Temperate,Northern California,"36.653824,-121.585261"
59,c,9/30/16,5.1,10.2,14.5,18.8,23.1,25.0,29.0,,,,,,,,2.286363959,0.9638651899,,Strawberry,Temperate,Northern California,"36.653824,-121.585261"
60,a,9/30/16,4.8,9.7,11.2,12.8,14.4,15.6,18.2,,,,,,,,1.137248632,0.908125021,,Strawberry,Temperate,Northern California,"36.653824,-121.585262"
60,b,9/30/16,5.7,11.5,14.6,17.8,21.0,23.6,29.0,,,,,,,,2.093334754,0.9644533707,,Strawberry,Temperate,Northern California,"36.653824,-121.585262"
60,c,9/30/16,4.5,9.0,12.1,15.3,18.5,20.2,23.7,,,,,,,,1.797040432,0.964273735,,Strawberry,Temperate,Northern California,"36.653824,-121.585262"
61,a,9/30/16,2.2,4.5,5.8,7.1,8.4,8.9,10.1,,,,,,,,0.7252895616,0.9328415518,,Strawberry,Temperate,Northern California,"3611456,-121.536925"
61,b,9/30/16,2.3,4.7,5.2,5.8,6.4,6.7,7.3,,,,,,,,0.4111596674,0.8215029785,,Strawberry,Temperate,Northern California,"3611456,-121.536925"
,,,,,,,,,,,,,,,,,,,,,,,
62,a,9/28,3.4,6.8,12.3,17.8,23.4,25.2,29.0,,,,,,,,2.606000853,0.968736556,,Strawberry,Temperate,Northern California,"36.688662,-121.581620"
62,b,9/28,2.1,4.3,6.2,8.1,10.1,16.4,29.0,,,,,,,,2.327044696,0.8548202267,,Strawberry,Temperate,Northern California,"36.688662,-121.581620"
62,c,9/28,2.6,5.2,9.2,13.2,17.3,21.2,29.0,,,,,,,,2.519274497,0.983789185,,Strawberry,Temperate,Northern California,"36.688662,-121.581620"
63,a,9/28,2.7,5.4,9.9,14.5,19.1,22.4,29.0,,,,,,,,2.57104029,0.9904393183,,Strawberry,Temperate,Northern California,"36.688662,-121.581620"
63,b,9/28,3.5,7.1,9.0,10.9,12.8,15.0,19.4,,,,,,,,1.407535707,0.9644005244,,Strawberry,Temperate,Northern California,"36.688662,-121.581620"
63,c,9/28,2.9,5.8,9.4,13.0,16.6,20.7,29.0,,,,,,,,2.435497051,0.9750565351,,Strawberry,Temperate,Northern California,"36.688662,-121.581620"
64,a,9/28,2.3,4.6,7.6,10.6,13.6,15.8,20.4,,,,,,,,1.738186598,0.9880590595,,Strawberry,Temperate,Northern California,"36.681090,-121.561483"
64,b,9/28,2.3,4.6,7.3,10.0,12.8,13.8,16.0,,,,,,,,1.35626732,0.9696314366,,Strawberry,Temperate,Northern California,"36.681090,-121.561483"
64,c,9/28,1.9,3.8,6.1,8.4,10.7,13.1,17.9,,,,,,,,1.501758687,0.9805682715,,Strawberry,Temperate,Northern California,"36.681090,-121.561483"
65,a,9/28,2.6,5.3,7.1,8.9,10.7,11.9,14.3,,,,,,,,1.080793008,0.9687298771,,Strawberry,Temperate,Northern California,"36.894974,-121777754"
65,b,9/28,3.5,7.0,8.9,10.9,12.9,14.3,17.3,,,,,,,,1.248418958,0.9628601452,,Strawberry,Temperate,Northern California,"36.894974,-121777754"
65,c,9/28,2.5,5.0,5.9,6.8,7.8,9.2,12.0,,,,,,,,0.8107901656,0.9444457645,,Strawberry,Temperate,Northern California,"36.894974,-121777754"
66,a,9/28,2.7,5.4,7.3,9.2,11.1,11.8,13.2,,,,,,,,0.9961628651,0.9420038587,,Strawberry,Temperate,Northern California,"36.895053,-121776544"
66,b,9/28,3.0,6.0,8.6,11.2,13.9,14.5,15.8,,,,,,,,1.257585447,0.9336863029,,Strawberry,Temperate,Northern California,"36.895053,-121776544"
66,c,9/28,2.7,5.5,6.3,7.1,7.9,8.2,9.0,,,,,,,,0.5277304057,0.8377304245,,Strawberry,Temperate,Northern California,"36.895053,-121776544"
67,a,9/28,1.2,2.4,3.5,4.6,5.7,6.3,7.5,,,,,,,,0.6030164144,0.9754761812,,Strawberry,Temperate,Northern California,"36.681090,-121.561483"
,,,,,,,,,,,,,,,,,,,,,,,
67,c,9/28,1.8,3.7,4.7,5.7,6.7,7.2,8.4,,,,,,,,0.5960527251,0.9417666738,,Strawberry,Temperate,Northern California,"36.681090,-121.561483"
68,a,9/28,3.3,6.6,9.7,12.9,16.1,19.5,26.3,,,,,,,,2.131315285,0.9792163509,,Strawberry,Temperate,Northern California,"36.11456,-121.536925"
68,b,9/28,3.0,6.1,8.2,10.3,12.4,15.9,23.0,,,,,,,,1.769381084,0.9472088767,,Strawberry,Temperate,Northern California,"36.11456,-121.536925"
,,,,,,,,,,,,,,,,,,,,,,,
69,b,9/28,3.8,7.6,8.8,10.0,11.2,11.8,13.1,,,,,,,,0.7919775457,0.8700394988,,Strawberry,Temperate,Northern California,"36.635546,-121.556993"
69,c,9/28,2.4,4.9,7.3,9.8,12.3,13.9,17.1,,,,,,,,1.404657855,0.9839623424,,Strawberry,Temperate,Northern California,"36.635546,-121.556993"
,,,,,,,,,,,,,,,,,,,,,,,
70,a,9/28,4.0,8.0,9.9,11.8,13.7,14.9,17.4,,,,,,,,1.19631564,0.941294155,,Strawberry,Temperate,Northern California,"36.892636,-121.741109"
70,b,9/28,3.2,6.5,7.5,8.5,9.6,10.5,12.5,,,,,,,,0.7844276274,0.9147512476,,Strawberry,Temperate,Northern California,"36.892636,-121.741109"
70,c,9/28,4.0,8.0,9.2,10.5,11.8,12.5,13.9,,,,,,,,0.8465146024,0.8785963111,,Strawberry,Temperate,Northern California,"36.892636,-121.741109"
71,a,9/28,1.9,3.9,7.0,10.2,13.4,14.9,18.0,,,,,,,,1.607741775,0.9834639198,,Strawberry,Temperate,Northern California,"36.861135,-121768080"
71,b,9/28,3.2,6.5,7.9,9.4,10.9,12.1,14.5,,,,,,,,0.9982413132,0.9493648937,,Strawberry,Temperate,Northern California,"36.861135,-121768080"
71,c,9/28,1.8,3.6,5.5,7.5,9.5,11.1,14.3,,,,,,,,1.18738009,0.9875380781,,Strawberry,Temperate,Northern California,"36.861135,-121768080"
72,a,9/28,2.7,5.5,7.4,9.3,11.3,11.9,13.2,,,,,,,,0.9974596746,0.9355912476,,Strawberry,Temperate,Northern California,"36.646695,-121.578872"
72,b,9/28,4.7,9.4,10.2,11.0,11.9,13.5,16.8,,,,,,,,0.9541320259,0.8761871001,,Strawberry,Temperate,Northern California,"36.646695,-121.578872"
72,c,9/28,2.7,5.5,7.1,8.7,10.3,10.8,11.9,,,,,,,,0.8536381724,0.9179580875,,Strawberry,Temperate,Northern California,"36.646695,-121.578872"
73,a,9/28,2.3,4.6,6.6,8.6,10.7,12.1,15.0,,,,,,,,1.197043985,0.9823843216,,Strawberry,Temperate,Northern California,"36.743330,-121.736454"
73,b,9/28,3.1,6.2,8.0,9.8,11.6,13.0,15.9,,,,,,,,1.157997584,0.9659513028,,Strawberry,Temperate,Northern California,"36.743330,-121.736454"
73,c,9/28,2.2,4.5,6.3,8.1,10.0,11.2,13.6,,,,,,,,1.071342287,0.9778803521,,Strawberry,Temperate,Northern California,"36.743330,-121.736454"
74,a,9/28,2.1,4.3,6.9,9.5,12.1,13.5,16.5,,,,,,,,1.398067221,0.9826726412,,Strawberry,Temperate,Northern California,"36.646695,-121.578872"
74,b,9/28,1.9,3.9,5.8,7.7,9.6,10.1,11.2,,,,,,,,0.915085625,0.9437393031,,Strawberry,Temperate,Northern California,"36.646695,-121.578872"
74,c,9/28,2.4,4.8,7.6,10.4,13.2,13.2,13.3,,,,,,,,1.137426277,0.8788965953,,Strawberry,Temperate,Northern California,"36.646695,-121.578872"
75,a,9/28,2.4,4.8,6.0,7.2,8.5,9.6,12.0,,,,,,,,0.8527499467,0.9629394423,,Strawberry,Temperate,Northern California,"36.7423,-121.686912"
,,,,,,,,,,,,,,,,,,,,,,,
75,c,9/28,2.5,5.0,6.3,7.6,9.0,9.5,10.6,,,,,,,,0.7431961913,0.925588112,,Strawberry,Temperate,Northern California,"36.7423,-121.686912"
76,a,9/28,2.4,4.9,6.5,8.2,9.9,10.6,12.0,,,,,,,,0.9039650394,0.9481236086,,Strawberry,Temperate,Northern California,"36.609264,-121.536049"
76,b,9/28,2.3,4.7,6.4,8.1,9.8,12.2,17.0,,,,,,,,1.316723513,0.9619624617,,Strawberry,Temperate,Northern California,"36.609264,-121.536049"
76,c,9/28,2.4,4.8,6.7,8.6,10.5,11.8,14.5,,,,,,,,1.129965182,0.9775695728,,Strawberry,Temperate,Northern California,"36.609264,-121.536049"
77,a,9/28,1.0,2.1,5.0,7.9,10.8,12.5,16.0,,,,,,,,1.508136147,0.9895409648,,Strawberry,Temperate,Northern California,"36.842913,-121.743354"
,,,,,,,,,,,,,,,,,,,,,,,
77,c,9/28,3.0,6.0,7.7,9.5,11.3,14.0,19.4,,,,,,,,1.448465146,0.9560559419,,Strawberry,Temperate,Northern California,"36.842913,-121.743354"
78,a,9/28,2.1,4.2,6.9,9.7,12.5,15.0,20.2,,,,,,,,1.718094934,0.9850233058,,Strawberry,Temperate,Northern California,"36.892636,-121.741109"
78,b,9/28,3.2,6.4,8.3,10.2,12.2,13.8,17.1,,,,,,,,1.260410005,0.9706648243,,Strawberry,Temperate,Northern California,"36.892636,-121.741109"
78,c,9/28,0.7,1.5,3.8,6.1,8.4,9.1,10.5,,,,,,,,1.031016841,0.9681609456,,Strawberry,Temperate,Northern California,"36.892636,-121.741109"
79,a,9/28,2.2,4.4,6.1,7.9,9.7,10.8,13.2,,,,,,,,1.031780715,0.9775358166,,Strawberry,Temperate,Northern California,"36.688662,-121.581620"
79,b,9/28,2.2,4.4,6.7,9.0,11.3,13.6,18.3,,,,,,,,1.501207987,0.9810161321,,Strawberry,Temperate,Northern California,"36.688662,-121.581620"
,,,,,,,,,,,,,,,,,,,,,,,
80,a,9/28,2.3,4.6,5.1,5.6,6.2,7.2,9.4,,,,,,,,0.5742379024,0.9052101918,,Strawberry,Temperate,Northern California,"36.727454,-121.6834"
80,c,9/28,3.1,6.3,7.9,9.5,11.1,12.1,14.2,,,,,,,,0.9964115683,0.9458237411,,Strawberry,Temperate,Northern California,"36.727454,-121.6834"
,,,,,,,,,,,,,,,,,,,,,,,
81,a,9/28,3.7,7.5,9.6,13.1,16.4,22.3,24.1,,,,,,,,2.059582179,0.9889577081,,Tomato,Desert,Southern California,"33.966848, -117.384794"
81,b,9/28,2.7,5.5,9.2,15.8,16.7,17.4,18.9,,,,,,,,1.645367015,0.8736673218,,Tomato,Desert,Southern California,"33.966848, -117.384794"
81,c,9/28,2.4,4.9,10.2,15.6,21.0,23.6,29.0,,,,,,,,2.688943367,0.9859802076,,Tomato,Desert,Southern California,"33.966848, -117.384794"
Strain No.,Replicate,Start Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Slope,R^2,,Substrate,Climate,Location,
