Strain No.,Replicate,Start Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Slope,R^2,,Substrate,Climate,Region,GPS
14,a,4/13/2016,2.2,3.9,8.4,10,10.8,12.7,,,,,,,,,1.243634099,0.8813120283,0.06144602049,Dung,Desert,Southern CA,"34.1922309,-116.71891119999998"
14,b,5/4/2016,1.1,3.6,4.8,5.2,5.8,11.5,13.7,,,,,,,,1.156736304,0.9006227808,0.07152465736,Dung,Desert,Southern CA,"34.1922309,-116.71891119999998"
14,a,5/2/2016,2.4,5.2,7,8,9.4,11.3,14.4,,,,,,,,1.055585163,0.9573541008,0.1217700363,Dung,Desert,Southern CA,"34.1922309,-116.71891119999998"
15,a,5/4/2016,0.7,3.4,4.2,5.4,7.2,,,,,,,,,,0.9410281438,0.9333637342,0.09532013575,,,,
15,b,5/4/2016,0.7,3.4,4.2,5.4,6.3,,,,,,,,,,0.8121848056,0.874829049,0.06042630387,,,,
15,c,5/4/2016,0.7,3.4,4.2,5.4,5.9,,,,,,,,,,0.7549210997,0.8327100935,0.4754897183,,,,
16,a,4/13/2016,3.5,6.2,7.8,10,12.2,12.2,12.2,12.3,12.3,12.3,12.3,12.3,12.3,12.3,0.8757194628,0.8676582112,0.5349275612,,Subtropical,Florida,"29.6516344,-82.32482619999996"
16,b,5/2/2016,1,3.2,6,9,10.7,14.2,18,,,,,,,,1.632221275,0.9852325149,0.5682350328,,Subtropical,Florida,"29.6516344,-82.32482619999996"
16,c,5/4/2016,3.6,7.9,8.6,9.2,9.9,,,,,,,,,,0.8286155848,0.6848212691,0.007757567582,,Subtropical,Florida,"29.6516344,-82.32482619999996"
17,a,5/2/2016,1.2,4.1,5.1,5.9,7.1,8.7,10.9,,,,,,,,0.8395864421,0.9473459969,0.06560823417,Soil,Subtropical,Florida,"29.6516344,-82.32482619999996"
17,b,5/4/2016,1,4.1,5.4,6.3,7,9,9.3,,,,,,,,0.7468023876,0.8979185897,0.2266957159,Soil,Subtropical,Florida,"29.6516344,-82.32482619999996"
